Platform Container,Function,Capability,Platform Alignment,Platform Positioning,Entity,Asset Class,Product,System,Platform State,Measure,Value,Product Limitations and Strategy
Asia,Enterprise Risk,Market Risk,Global,Interim Strategic,Asia,,,MRS,T0,Platform Capability,80,
Asia,Finance,Finance SubGL,Global,Strategic,Asia,Bonds,,EBAR,T0,Platform Capability,90,
Asia,Finance,Finance SubGL,Global,Strategic,Asia,,,FinMan,T0,Platform Capability,90,
Asia,Finance,Finance SubGL,Global,Interim Strategic,Asia,FNO,,GMI,T0,Platform Capability,50,
Asia,Finance,Finance SubGL,Asia,Interim Nonstrategic,India,FX,,GBS,T0,Platform Capability,40,
Asia,Finance,Finance SubGL,Asia,Interim Nonstrategic,India,Bonds,,GBS,T0,Platform Capability,40,
Asia,Finance,Finance SubGL,Asia,Interim Nonstrategic,India,FNO,,GBS,T0,Platform Capability,40,
Indonesia,Finance,Finance SubGL,Indonesia,Strategic,Indonesia,,,BIB,TN,Platform Capability,70,
Asia,Operations,Settlements,Global,Strategic,Asia,,,Cashman,T0,Platform Capability,90,
Asia,Operations,Settlements,Asia,Interim Nonstrategic,India,FX,,GBS,T0,Platform Capability,40,
Indonesia,Operations,Settlements,Indonesia,Strategic,Indonesia,,,BIB,T0,Platform Capability,90,
Asia,Trading,Electronic Trading,Global,Strategic,Asia,FX,Spot,Instinct FX,T0,Platform Capability,90,
Asia,Trading,Electronic Trading,Global,Strategic,Asia,FX,Forwards,Instinct FX,T0,Platform Capability,90,
Asia,Trading,Electronic Trading,Global,Strategic,Asia,FX,NDFs,Instinct FX,T0,Platform Capability,90,
Asia,Trading,Electronic Trading,Global,Strategic,Asia,Bonds,Govt,P2/GRET,T0,Platform Capability,30,
Asia,Trading,Electronic Trading,Global,Strategic,Asia,Rates,IRS,P2/GRET,T0,Platform Capability,70,
Asia,Trading,Electronic Trading,Global,Interim Nonstrategic,Asia,Bonds,Govt,Pioneer,T0,Platform Capability,70,
Asia,Trading,Electronic Trading,Global,Interim Nonstrategic,Asia,Rates,Swaps,Pioneer,T0,Platform Capability,70,
Australia,Trading,Electronic Trading,Australia,Interim Nonstrategic,Australia,Bonds,EFP,Pioneer,T0,Platform Capability,50,
Asia,Trading,Marking,Global,Interim Strategic,Asia,FX,,Sprite,T0,Platform Capability,90,
Asia,Trading,Marking,Global,Interim Strategic,Asia,NDFs,,Sprite,T0,Platform Capability,90,
Asia,Trading,Marking,Global,Interim Strategic,Asia,Rates,,Sprite,T0,Platform Capability,60,
Asia,Trading,Marking,Global,Interim Nonstrategic,Asia,Bonds,,Bloomberg,T0,Platform Capability,80,
Asia,Trading,Marking,Global,Tactical,Asia,Bonds,,Spreadsheets,T0,Platform Capability,20,
Asia,Trading,Pricing,Asia,Tactical,Asia,,,Spreadsheets,T0,Platform Capability,20,
Asia,Trading,Pricing,Global,Interim Strategic,Asia,FX,,Sprite,T0,Platform Capability,90,
Asia,Trading,Pricing,Global,Interim Strategic,Asia,NDFs,,Sprite,T0,Platform Capability,90,
Japan,Trading,Pricing,Japan,Tactical,Japan,Rates,,Falcon,T0,Platform Capability,80,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,Bonds,,Bloomberg,T0,Platform Capability,80,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,FNO,,Bloomberg,T0,Platform Capability,80,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,Repos,,Bloomberg,T0,Platform Capability,80,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,Exotics,,ORCA,T0,Platform Capability,90,
Asia,Trading,Trade Management,Global,Interim Strategic,Asia,FX,Options,QZ Deal Manager,T0,Platform Capability,80,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,FX,,Sierra,T0,Platform Capability,90,
Asia,Trading,Trade Management,Global,Interim Nonstrategic,Asia,Rates,,VMASTER,T0,Platform Capability,90,
Indonesia,Trading,Trade Management,Indonesia,Strategic,Indonesia,,,BIB,TN,Platform Capability,80,
Asia,Trading,Trading Risk,Global,Strategic,Asia,,,BRISK,TN,Platform Capability,80,
Japan,Trading,Trading Risk,Japan,Tactical,Japan,,,Spreadsheets,T0,Platform Capability,20,
Japan,Trading,Trading Risk,Japan,Tactical,Japan,Bonds,,PPW,T0,Platform Capability,70,
Asia,Trading,Trading Venue,Global,Vendor Contingent,Asia,FX,Spots,Reuters,T0,Platform Capability,90,
Asia,Trading,Trading Venue,Global,Vendor Contingent,Asia,FX,Forwards,Reuters,T0,Platform Capability,90,
Australia,Trading,Trading Venue,Australia,Vendor Contingent,Australia,Bonds,EFP,GFI,T0,Platform Capability,70,
Australia,Trading,Trading Venue,Australia,Vendor Contingent,Australia,Bonds,Govt,ICAP,T0,Platform Capability,70,
Australia,Trading,Trading Venue,Australia,Vendor Contingent,Australia,Bonds,Govt,Yieldbroker,T0,Platform Capability,70,
India,Trading,Trading Venue,India,Vendor Contingent,India,FX,Spots,CCIL,T0,Platform Capability,70,
India,Trading,Trading Venue,India,Vendor Contingent,India,FX,Forwards,CCIL,T0,Platform Capability,70,
India,Trading,Trading Venue,India,Vendor Contingent,India,Bonds,Govt,CCIL,T0,Platform Capability,70,
India,Trading,Trading Venue,India,Vendor Contingent,India,Bonds,Govt,EKuber,T0,Platform Capability,60,
